image,level
ISIC_0000000,0
ISIC_0000001,0
ISIC_0000002,1
ISIC_0000004,1
ISIC_0000006,0
ISIC_0000007,0
ISIC_0000008,0
ISIC_0000009,0
ISIC_0000010,0
ISIC_0000011,0
ISIC_0000016,0
ISIC_0000017,0
ISIC_0000018,0
ISIC_0000019,0
ISIC_0000021,0
ISIC_0000024,0
ISIC_0000025,0
ISIC_0000026,1
ISIC_0000028,0
ISIC_0000029,1
ISIC_0000030,1
ISIC_0000031,1
ISIC_0000032,0
ISIC_0000034,0
ISIC_0000035,1
ISIC_0000038,0
ISIC_0000039,0
ISIC_0000041,0
ISIC_0000042,0
ISIC_0000044,0
ISIC_0000045,0
ISIC_0000046,1
ISIC_0000047,0
ISIC_0000048,0
ISIC_0000049,1
ISIC_0000050,0
ISIC_0000051,0
ISIC_0000054,1
ISIC_0000055,0
ISIC_0000058,0
ISIC_0000059,0
ISIC_0000060,0
ISIC_0000061,0
ISIC_0000062,0
ISIC_0000063,0
ISIC_0000065,0
ISIC_0000067,0
ISIC_0000068,0
ISIC_0000073,0
ISIC_0000074,1
ISIC_0000075,0
ISIC_0000077,0
ISIC_0000078,1
ISIC_0000079,0
ISIC_0000080,0
ISIC_0000081,0
ISIC_0000082,0
ISIC_0000085,0
ISIC_0000086,0
ISIC_0000087,0
ISIC_0000089,0
ISIC_0000091,0
ISIC_0000093,0
ISIC_0000094,0
ISIC_0000095,0
ISIC_0000096,0
ISIC_0000097,0
ISIC_0000100,0
ISIC_0000102,0
ISIC_0000103,0
ISIC_0000104,0
ISIC_0000105,0
ISIC_0000108,0
ISIC_0000109,0
ISIC_0000110,0
ISIC_0000112,0
ISIC_0000114,0
ISIC_0000116,0
ISIC_0000118,0
ISIC_0000119,0
ISIC_0000120,0
ISIC_0000121,0
ISIC_0000122,0
ISIC_0000123,0
ISIC_0000124,0
ISIC_0000127,0
ISIC_0000128,0
ISIC_0000130,0
ISIC_0000131,0
ISIC_0000133,0
ISIC_0000134,0
ISIC_0000135,0
ISIC_0000137,0
ISIC_0000139,1
ISIC_0000140,1
ISIC_0000142,1
ISIC_0000143,1
ISIC_0000145,1
ISIC_0000146,1
ISIC_0000147,1
ISIC_0000148,1
ISIC_0000150,1
ISIC_0000151,1
ISIC_0000152,1
ISIC_0000153,1
ISIC_0000154,1
ISIC_0000155,1
ISIC_0000156,1
ISIC_0000157,1
ISIC_0000159,1
ISIC_0000162,1
ISIC_0000163,1
ISIC_0000166,1
ISIC_0000167,1
ISIC_0000170,1
ISIC_0000171,1
ISIC_0000173,1
ISIC_0000175,1
ISIC_0000176,1
ISIC_0000179,0
ISIC_0000181,0
ISIC_0000182,0
ISIC_0000183,0
ISIC_0000184,0
ISIC_0000185,0
ISIC_0000186,0
ISIC_0000187,0
ISIC_0000189,0
ISIC_0000190,0
ISIC_0000191,0
ISIC_0000192,0
ISIC_0000193,0
ISIC_0000199,0
ISIC_0000203,0
ISIC_0000204,0
ISIC_0000205,0
ISIC_0000206,0
ISIC_0000207,0
ISIC_0000208,0
ISIC_0000209,0
ISIC_0000210,0
ISIC_0000211,0
ISIC_0000214,0
ISIC_0000215,0
ISIC_0000216,0
ISIC_0000217,0
ISIC_0000218,0
ISIC_0000219,0
ISIC_0000220,0
ISIC_0000221,0
ISIC_0000223,0
ISIC_0000224,0
ISIC_0000225,0
ISIC_0000229,0
ISIC_0000232,0
ISIC_0000235,0
ISIC_0000236,0
ISIC_0000237,0
ISIC_0000239,0
ISIC_0000240,0
ISIC_0000242,0
ISIC_0000243,0
ISIC_0000244,0
ISIC_0000245,0
ISIC_0000247,0
ISIC_0000249,0
ISIC_0000250,0
ISIC_0000251,0
ISIC_0000252,0
ISIC_0000255,0
ISIC_0000256,0
ISIC_0000259,0
ISIC_0000260,0
ISIC_0000261,0
ISIC_0000262,0
ISIC_0000263,0
ISIC_0000264,0
ISIC_0000265,0
ISIC_0000268,0
ISIC_0000269,0
ISIC_0000274,0
ISIC_0000275,0
ISIC_0000276,1
ISIC_0000277,1
ISIC_0000278,1
ISIC_0000280,1
ISIC_0000281,1
ISIC_0000282,1
ISIC_0000283,1
ISIC_0000285,1
ISIC_0000288,1
ISIC_0000290,1
ISIC_0000292,1
ISIC_0000293,1
ISIC_0000294,1
ISIC_0000295,1
ISIC_0000297,1
ISIC_0000300,1
ISIC_0000301,1
ISIC_0000303,1
ISIC_0000307,1
ISIC_0000313,1
ISIC_0000314,1
ISIC_0000315,0
ISIC_0000316,0
ISIC_0000317,0
ISIC_0000321,0
ISIC_0000322,0
ISIC_0000323,0
ISIC_0000324,0
ISIC_0000326,0
ISIC_0000329,0
ISIC_0000330,0
ISIC_0000331,0
ISIC_0000332,0
ISIC_0000333,0
ISIC_0000336,0
ISIC_0000337,0
ISIC_0000338,0
ISIC_0000339,0
